,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,Heaves,Heaves,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
537,Dexter Dennis,24,DAL,SG,4,0,30,.526,14.3,.579,.316,.053,.105,.105,.421,.818,1.000,1.000,.500,.500,.125,.444,1.000,.053,1,.000,,0,0,,dennide01
538,Henri Drell,23,CHI,SF,4,0,30,.400,16.5,.400,.100,.300,.000,.000,.600,.500,1.000,.333,,,.333,.000,1.000,.000,0,.333,.500,0,0,,drellhe01
539,Jordan Miller,24,LAC,SF,8,0,28,.556,9.2,.778,.556,.000,.111,.111,.222,.571,.800,,.000,.000,.500,.000,1.000,.222,2,1.000,.500,0,0,,millejo02
540,Mason Jones,25,SAC,SG,5,0,28,.250,24.4,.125,.000,.000,.125,.000,.875,.000,,,.000,,.286,,1.000,.000,0,.143,.000,0,0,,jonesma05
541,Pete Nance,23,CLE,PF,8,0,27,.167,10.2,.833,.333,.167,.333,.000,.167,.000,.000,.000,.000,,1.000,,1.000,.000,0,.000,,0,0,,nancepe01
542,Pat Spencer,27,GSW,PG,6,0,26,.500,15.6,.500,.250,.250,.000,.000,.500,1.000,1.000,1.000,,,.000,.500,,.250,1,.000,,0,0,,spencpa01
543,Dariq Whitehead,19,BRK,SF,2,0,24,.200,17.6,.400,.000,.400,.000,.000,.600,.500,,.500,,,.000,1.000,,.000,0,.333,.000,0,0,,whiteda01
544,Mamadi Diakite,27,2TM,PF,6,0,24,.667,15.1,.833,.500,.333,.000,.000,.167,.800,.667,1.000,,,.000,1.000,,.167,1,.000,,0,0,,diakima01
544,Mamadi Diakite,27,SAS,PF,3,0,16,.800,4.2,1.000,.600,.400,.000,.000,.000,.800,.667,1.000,,,,1.000,,.200,1,,,0,0,,diakima01
544,Mamadi Diakite,27,NYK,PF,3,0,8,.000,25.9,.000,.000,.000,.000,.000,1.000,,,,,,.000,,,.000,0,.000,,0,0,,diakima01
545,E.J. Liddell,23,NOP,PF,8,0,23,.167,22.1,.167,.167,.000,.000,.000,.833,1.000,1.000,,,,.000,1.000,,.167,1,.000,,0,0,,liddeej01
546,Drew Peterson,24,BOS,PF,3,0,23,.667,21.3,.167,.167,.000,.000,.000,.833,1.000,1.000,,,,.600,1.000,1.000,.167,1,.200,.000,0,0,,peterdr01
547,Jordan Ford,25,SAC,PG,6,0,22,.571,18.2,.571,.143,.000,.286,.143,.429,.500,1.000,,.500,.000,.667,.000,.500,.000,0,.333,1.000,0,0,,fordjo01
548,Isaiah Thomas,34,PHO,PG,6,0,19,.300,13.6,.600,.200,.300,.000,.100,.400,.167,.500,.000,,.000,.500,.000,1.000,.000,0,.250,1.000,0,0,,thomais02
549,Usman Garuba,21,GSW,PF,6,0,18,.167,7.2,.833,.333,.500,.000,.000,.167,.200,.500,.000,,,.000,.000,,.000,0,.000,,0,0,,garubus01
550,Danny Green,36,PHI,SG,2,0,18,.000,22.5,.500,.000,.000,.000,.500,.500,.000,,,,.000,.000,,,.000,0,1.000,.000,0,0,,greenda02
551,Alondes Williams,24,MIA,SG,7,0,16,.250,15.7,.500,.250,.250,.000,.000,.500,.500,1.000,.000,,,.000,.000,,.000,0,.000,,0,0,,willial06
552,Ty Jerome,26,CLE,SG,2,0,15,.500,10.6,.750,.250,.250,.250,.000,.250,.667,.000,1.000,1.000,,.000,.000,,.000,0,.000,,0,0,,jeromty01
553,D.J. Wilson,27,PHI,PF,2,0,15,.667,10.3,.667,.333,.333,.000,.000,.333,.500,1.000,.000,,,1.000,1.000,1.000,.167,1,.500,1.000,0,0,,wilsodj01
554,Adam Flagler,24,OKC,SG,2,0,14,.143,24.2,.143,.000,.000,.143,.000,.857,.000,,,.000,,.167,,.000,.000,0,.000,,0,0,,flaglad01
555,Andrew Funk,24,CHI,SG,5,0,13,.000,19.0,.250,.000,.250,.000,.000,.750,.000,,.000,,,.000,,,.000,0,.667,.000,0,0,,funkan01
556,Quenton Jackson,25,IND,PG,3,0,11,.000,2.3,1.000,1.000,.000,.000,.000,.000,.000,.000,,,,,,,.000,0,,,0,0,,jacksqu01
557,Joshua Primo,21,LAC,SG,2,0,10,.333,16.7,.667,.333,.000,.000,.333,.333,.500,1.000,,,.000,.000,1.000,,.000,0,.000,,0,0,,primojo01
558,Filip Petrušev,23,2TM,C,3,0,10,.500,12.4,1.000,.000,.000,1.000,.000,.000,.500,,,.500,,,1.000,,.000,0,,,0,0,,petrufi01
558,Filip Petrušev,23,PHI,C,1,0,3,,,,,,,,,,,,,,,,,,0,,,0,0,,petrufi01
558,Filip Petrušev,23,SAC,C,2,0,7,.500,12.4,1.000,.000,.000,1.000,.000,.000,.500,,,.500,,,1.000,,.000,0,,,0,0,,petrufi01
559,Lindell Wigginton,25,MIL,PG,3,0,8,.400,11.7,.600,.400,.200,.000,.000,.400,.667,1.000,.000,,,.000,.000,,.000,0,.000,,0,0,,wiggili01
560,Kaiser Gates,27,NOP,SF,1,0,7,.000,13.7,.500,.500,.000,.000,.000,.500,.000,.000,,,,.000,,,.000,0,.000,,0,0,,gateska01
561,Shaquille Harrison,30,MEM,SG,3,0,6,.500,1.1,1.000,1.000,.000,.000,.000,.000,.500,.500,,,,,1.000,,.000,0,,,0,0,,harrish01
562,Kevon Harris,26,ORL,SG,2,0,6,.667,11.5,1.000,.333,.000,.333,.333,.000,.667,1.000,,.000,1.000,,.500,,.000,0,,,0,0,,harrike01
563,Hamidou Diallo,25,WAS,SG,2,0,5,.500,0.1,1.000,1.000,.000,.000,.000,.000,.500,.500,,,,,.000,,.000,0,,,0,0,,diallha01
564,Ron Harper Jr.,23,TOR,PF,1,0,4,,,,,,,,,,,,,,,,,,0,,,0,0,,harpero02
565,Markquis Nowell,24,TOR,SG,1,0,4,.000,9.5,1.000,.000,1.000,.000,.000,.000,.000,,.000,,,,,,.000,0,,,0,0,,nowelma01
566,Isaiah Wong,23,IND,SG,1,0,4,.333,16.3,.667,.000,.333,.000,.333,.333,.500,,.000,,1.000,.000,.000,,.000,0,1.000,.000,0,0,,wongis01
567,Izaiah Brockington,24,NOP,PG,1,0,3,.400,10.5,.800,.400,.200,.000,.200,.200,.500,1.000,.000,,.000,.000,.500,,.200,1,.000,,0,0,,brockiz01
568,Malcolm Cazalon,22,DET,SG,1,0,3,,,,,,,,,,,,,,,,,,0,,,0,0,,cazalma01
569,Jalen Crutcher,24,NOP,PG,1,0,3,.000,4.5,1.000,.000,1.000,.000,.000,.000,.000,,.000,,,,,,.000,0,,,0,0,,crutcja01
570,Dmytro Skapintsev,25,NYK,C,2,0,2,.000,4.2,1.000,.000,1.000,.000,.000,.000,.000,,.000,,,,,,.000,0,,,0,0,,skapidm01
571,Justin Jackson,28,MIN,SF,2,0,1,,,,,,,,,,,,,,,,,,0,,,0,0,,jacksju01
572,Javonte Smart,24,PHI,PG,1,0,1,,,,,,,,,,,,,,,,,,0,,,0,0,,smartja01
,League Average,,,,,,,.474,13.8,.605,.241,.211,.096,.058,.395,.545,.699,.452,.446,.407,.366,.540,.844,.060,,.244,.393,,,,-9999
